"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",18.553,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",18.577,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",19.016,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",18.654,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2016",19.991,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2015",19.857,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",19.233,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahrain","OE - Estimates of Central informatics organization","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2015",11.932,,,
"Bahamas","LFS - Labour Force & Household Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",2.814,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",17.623,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",17.664,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",17.308,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
